lat,lon,date,value
32.5,-123.96969696969697,2023-08-13,2.86
32.5,-123.96969696969697,2023-08-20,9.69
32.5,-123.96969696969697,2023-08-27,7.67
32.5,-123.96969696969697,2023-09-03,6.14
32.5,-123.96969696969697,2023-09-10,6.59
32.5,-123.96969696969697,2023-09-17,0.84
32.5,-123.96969696969697,2023-09-24,9.97
32.5,-123.96969696969697,2023-10-01,1.21
32.5,-123.96969696969697,2023-10-08,4.7
32.5,-123.96969696969697,2023-10-15,3.11
32.5,-123.96969696969697,2023-10-22,9.14
32.5,-123.96969696969697,2023-10-29,0.34
32.5,-123.96969696969697,2023-11-05,1.03
32.5,-123.96969696969697,2023-11-12,7.34
32.5,-123.96969696969697,2023-11-19,4.76
32.5,-123.96969696969697,2023-11-26,9.09
32.5,-123.96969696969697,2023-12-03,5.85
32.5,-123.96969696969697,2023-12-10,2.47
32.5,-123.96969696969697,2023-12-17,7.01
32.5,-123.96969696969697,2023-12-24,9.86
32.5,-123.96969696969697,2023-12-31,2.26
32.5,-123.43939393939394,2023-01-01,8.18
32.5,-123.43939393939394,2023-01-08,1.41
32.5,-123.43939393939394,2023-01-15,3.02
32.5,-123.43939393939394,2023-01-22,0.86
32.5,-123.43939393939394,2023-01-29,5.63
32.5,-123.43939393939394,2023-02-05,1.47
32.5,-123.43939393939394,2023-02-12,7.48
32.5,-123.43939393939394,2023-02-19,7.97
32.5,-123.43939393939394,2023-02-26,8.67
32.5,-123.43939393939394,2023-03-05,5.65
32.5,-123.43939393939394,2023-03-12,2.17
32.5,-123.43939393939394,2023-03-19,5.59
32.5,-123.43939393939394,2023-03-26,1.12
32.5,-123.43939393939394,2023-04-02,8.39
32.5,-123.43939393939394,2023-04-09,3.62
32.5,-123.43939393939394,2023-04-16,2.18
32.5,-123.43939393939394,2023-04-23,4.65
32.5,-123.43939393939394,2023-04-30,2.77
32.5,-123.43939393939394,2023-05-07,8.45
32.5,-123.43939393939394,2023-05-14,2.69
32.5,-123.43939393939394,2023-05-21,9.67
32.5,-123.43939393939394,2023-05-28,5.84
32.5,-123.43939393939394,2023-06-04,6.63
32.5,-123.43939393939394,2023-06-11,9.4
32.5,-123.43939393939394,2023-06-18,5.96
32.5,-123.43939393939394,2023-06-25,0.11
32.5,-123.43939393939394,2023-07-02,2.65
32.5,-123.43939393939394,2023-07-09,9.64
32.5,-123.43939393939394,2023-07-16,2.29
32.5,-123.43939393939394,2023-07-23,1.46
32.5,-123.43939393939394,2023-07-30,3.86
32.5,-123.43939393939394,2023-08-06,0.88
32.5,-123.43939393939394,2023-08-13,4.31
32.5,-123.43939393939394,2023-08-20,1.91
32.5,-123.43939393939394,2023-08-27,3.1
32.5,-123.43939393939394,2023-09-03,8.47
32.5,-123.43939393939394,2023-09-10,8.67
32.5,-123.43939393939394,2023-09-17,1.74
32.5,-123.43939393939394,2023-09-24,6.95
32.5,-123.43939393939394,2023-10-01,8.05
32.5,-123.43939393939394,2023-10-08,5.34
32.5,-123.43939393939394,2023-10-15,5.55
32.5,-123.43939393939394,2023-10-22,5.45
32.5,-123.43939393939394,2023-10-29,3.49
32.5,-123.43939393939394,2023-11-05,7.07
32.5,-123.43939393939394,2023-11-12,3.53
32.5,-123.43939393939394,2023-11-19,4.65
32.5,-123.43939393939394,2023-11-26,4.02
32.5,-123.43939393939394,2023-12-03,2.31
32.5,-123.43939393939394,2023-12-10,9.73
32.5,-123.43939393939394,2023-12-17,0.99
32.5,-123.43939393939394,2023-12-24,4.35
32.5,-123.43939393939394,2023-12-31,6.69
32.5,-122.9090909090909,2023-01-01,1.52
32.5,-122.9090909090909,2023-01-08,5.47
32.5,-122.9090909090909,2023-01-15,9.36
32.5,-122.9090909090909,2023-01-22,3.73
32.5,-122.9090909090909,2023-01-29,2.39
32.5,-122.9090909090909,2023-02-05,4.31
32.5,-122.9090909090909,2023-02-12,5.01
32.5,-122.9090909090909,2023-02-19,7.74
32.5,-122.9090909090909,2023-02-26,0.65
32.5,-122.9090909090909,2023-03-05,5.66
32.5,-122.9090909090909,2023-03-12,2.84
32.5,-122.9090909090909,2023-03-19,4.79
32.5,-122.9090909090909,2023-03-26,2.18
32.5,-122.9090909090909,2023-04-02,7.15
32.5,-122.9090909090909,2023-04-09,0.16
32.5,-122.9090909090909,2023-04-16,0.02
32.5,-122.9090909090909,2023-04-23,8.53
32.5,-122.9090909090909,2023-04-30,7.1
32.5,-122.9090909090909,2023-05-07,6.29
32.5,-122.9090909090909,2023-05-14,4.88
32.5,-122.9090909090909,2023-05-21,9.86
32.5,-122.9090909090909,2023-05-28,5.31
32.5,-122.9090909090909,2023-06-04,9.41
32.5,-122.9090909090909,2023-06-11,6.09
32.5,-122.9090909090909,2023-06-18,3.68
32.5,-122.9090909090909,2023-06-25,1.1
32.5,-122.9090909090909,2023-07-02,8.92
32.5,-122.9090909090909,2023-07-09,2.1
32.5,-122.9090909090909,2023-07-16,2.68
32.5,-122.9090909090909,2023-07-23,2.11
32.5,-122.9090909090909,2023-07-30,7.48
32.5,-122.9090909090909,2023-08-06,8.4
32.5,-122.9090909090909,2023-08-13,5.89
32.5,-122.9090909090909,2023-08-20,3.29
32.5,-122.9090909090909,2023-08-27,3.81
32.5,-122.9090909090909,2023-09-03,4.94
32.5,-122.9090909090909,2023-09-10,0.04
32.5,-122.9090909090909,2023-09-17,2.59
32.5,-122.9090909090909,2023-09-24,8.32
32.5,-122.9090909090909,2023-10-01,2.62
32.5,-122.9090909090909,2023-10-08,8.49
32.5,-122.9090909090909,2023-10-15,7.93
32.5,-122.9090909090909,2023-10-22,3.54
32.5,-122.9090909090909,2023-10-29,6.62
32.5,-122.9090909090909,2023-11-05,8.69
32.5,-122.9090909090909,2023-11-12,2.03
32.5,-122.9090909090909,2023-11-19,8.43
32.5,-122.9090909090909,2023-11-26,1.88
32.5,-122.9090909090909,2023-12-03,2.12
32.5,-122.9090909090909,2023-12-10,0.4
32.5,-122.9090909090909,2023-12-17,4.66
32.5,-122.9090909090909,2023-12-24,3.84
32.5,-122.9090909090909,2023-12-31,4.26
32.5,-122.37878787878788,2023-01-01,9.65
32.5,-122.37878787878788,2023-01-08,3.07
32.5,-122.37878787878788,2023-01-15,4.6
32.5,-122.37878787878788,2023-01-22,3.49
32.5,-122.37878787878788,2023-01-29,3.9
32.5,-122.37878787878788,2023-02-05,0.69
32.5,-122.37878787878788,2023-02-12,6.13
32.5,-122.37878787878788,2023-02-19,8.81
32.5,-122.37878787878788,2023-02-26,9.47
32.5,-122.37878787878788,2023-03-05,1.89
32.5,-122.37878787878788,2023-03-12,1.09
32.5,-122.37878787878788,2023-03-19,8.41
32.5,-122.37878787878788,2023-03-26,6.36
32.5,-122.37878787878788,2023-04-02,8.5
32.5,-122.37878787878788,2023-04-09,8.53
32.5,-122.37878787878788,2023-04-16,5.07
32.5,-122.37878787878788,2023-04-23,1.36
32.5,-122.37878787878788,2023-04-30,3.09
32.5,-122.37878787878788,2023-05-07,8.17
32.5,-122.37878787878788,2023-05-14,2.77
32.5,-122.37878787878788,2023-05-21,2.55
32.5,-122.37878787878788,2023-05-28,2.49
32.5,-122.37878787878788,2023-06-04,0.24
32.5,-122.37878787878788,2023-06-11,4.94
32.5,-122.37878787878788,2023-06-18,5.93
32.5,-122.37878787878788,2023-06-25,9.56
32.5,-122.37878787878788,2023-07-02,5.4
32.5,-122.37878787878788,2023-07-09,3.96
32.5,-122.37878787878788,2023-07-16,8.52
32.5,-122.37878787878788,2023-07-23,1.38
32.5,-122.37878787878788,2023-07-30,4.76
32.5,-122.37878787878788,2023-08-06,4.09
32.5,-122.37878787878788,2023-08-13,7.92
32.5,-122.37878787878788,2023-08-20,0.51
32.5,-122.37878787878788,2023-08-27,5.8
32.5,-122.37878787878788,2023-09-03,0.72
32.5,-122.37878787878788,2023-09-10,3.22
32.5,-122.37878787878788,2023-09-17,2.26
32.5,-122.37878787878788,2023-09-24,9.28
32.5,-122.37878787878788,2023-10-01,3.26
32.5,-122.37878787878788,2023-10-08,0.3
32.5,-122.37878787878788,2023-10-15,6.44
32.5,-122.37878787878788,2023-10-22,3.08
32.5,-122.37878787878788,2023-10-29,4.87
32.5,-122.37878787878788,2023-11-05,0.64
32.5,-122.37878787878788,2023-11-12,9.73
32.5,-122.37878787878788,2023-11-19,5.91
32.5,-122.37878787878788,2023-11-26,7.34
32.5,-122.37878787878788,2023-12-03,9.78
32.5,-122.37878787878788,2023-12-10,1.51
32.5,-122.37878787878788,2023-12-17,9.33
32.5,-122.37878787878788,2023-12-24,8.64
32.5,-122.37878787878788,2023-12-31,5.99
32.5,-121.84848484848484,2023-01-01,2.17
32.5,-121.84848484848484,2023-01-08,1.96
32.5,-121.84848484848484,2023-01-15,6.47
32.5,-121.84848484848484,2023-01-22,2.14
32.5,-121.84848484848484,2023-01-29,0.36
32.5,-121.84848484848484,2023-02-05,3.3
32.5,-121.84848484848484,2023-02-12,2.54
32.5,-121.84848484848484,2023-02-19,8.3
32.5,-121.84848484848484,2023-02-26,0.22
32.5,-121.84848484848484,2023-03-05,6.54
32.5,-121.84848484848484,2023-03-12,9.25
32.5,-121.84848484848484,2023-03-19,2.85
32.5,-121.84848484848484,2023-03-26,1.55
32.5,-121.84848484848484,2023-04-02,7.32
32.5,-121.84848484848484,2023-04-09,2.77
32.5,-121.84848484848484,2023-04-16,7.03
32.5,-121.84848484848484,2023-04-23,8.55
32.5,-121.84848484848484,2023-04-30,0.83
32.5,-121.84848484848484,2023-05-07,7.44
32.5,-121.84848484848484,2023-05-14,2.99
32.5,-121.84848484848484,2023-05-21,2.31
32.5,-121.84848484848484,2023-05-28,2.99
32.5,-121.84848484848484,2023-06-04,4.88
32.5,-121.84848484848484,2023-06-11,0.96
32.5,-121.84848484848484,2023-06-18,1.02
32.5,-121.84848484848484,2023-06-25,8.88
32.5,-121.84848484848484,2023-07-02,3.49
32.5,-121.84848484848484,2023-07-09,6.42
32.5,-121.84848484848484,2023-07-16,5.76
32.5,-121.84848484848484,2023-07-23,1.29
32.5,-121.84848484848484,2023-07-30,2.71
32.5,-121.84848484848484,2023-08-06,7.56
32.5,-121.84848484848484,2023-08-13,1.65
32.5,-121.84848484848484,2023-08-20,6.05
32.5,-121.84848484848484,2023-08-27,5.78
32.5,-121.84848484848484,2023-09-03,6.04
32.5,-121.84848484848484,2023-09-10,9.14
32.5,-121.84848484848484,2023-09-17,9.04
32.5,-121.84848484848484,2023-09-24,8.2
32.5,-121.84848484848484,2023-10-01,2.42
32.5,-121.84848484848484,2023-10-08,9.83
32.5,-121.84848484848484,2023-10-15,9.46
32.5,-121.84848484848484,2023-10-22,6.13
32.5,-121.84848484848484,2023-10-29,5.61
32.5,-121.84848484848484,2023-11-05,6.02
32.5,-121.84848484848484,2023-11-12,7.03
32.5,-121.84848484848484,2023-11-19,1.96
32.5,-121.84848484848484,2023-11-26,6.83
32.5,-121.84848484848484,2023-12-03,3.03
32.5,-121.84848484848484,2023-12-10,0.54
32.5,-121.84848484848484,2023-12-17,1.64
32.5,-121.84848484848484,2023-12-24,4.57
32.5,-121.84848484848484,2023-12-31,0.91
32.5,-121.31818181818181,2023-01-01,0.0
32.5,-121.31818181818181,2023-01-08,2.87
32.5,-121.31818181818181,2023-01-15,9.47
32.5,-121.31818181818181,2023-01-22,1.54
32.5,-121.31818181818181,2023-01-29,1.51
32.5,-121.31818181818181,2023-02-05,5.89
32.5,-121.31818181818181,2023-02-12,0.93
32.5,-121.31818181818181,2023-02-19,6.27
32.5,-121.31818181818181,2023-02-26,5.7
32.5,-121.31818181818181,2023-03-05,0.97
32.5,-121.31818181818181,2023-03-12,7.43
32.5,-121.31818181818181,2023-03-19,8.57
32.5,-121.31818181818181,2023-03-26,8.36
32.5,-121.31818181818181,2023-04-02,9.42
32.5,-121.31818181818181,2023-04-09,0.94
32.5,-121.31818181818181,2023-04-16,0.43
32.5,-121.31818181818181,2023-04-23,8.57
32.5,-121.31818181818181,2023-04-30,0.11
32.5,-121.31818181818181,2023-05-07,6.34
32.5,-121.31818181818181,2023-05-14,7.99
32.5,-121.31818181818181,2023-05-21,2.07
32.5,-121.31818181818181,2023-05-28,8.79
32.5,-121.31818181818181,2023-06-04,3.34
32.5,-121.31818181818181,2023-06-11,9.49
32.5,-121.31818181818181,2023-06-18,2.41
32.5,-121.31818181818181,2023-06-25,0.62
32.5,-121.31818181818181,2023-07-02,4.64
32.5,-121.31818181818181,2023-07-09,4.05
32.5,-121.31818181818181,2023-07-16,5.06
32.5,-121.31818181818181,2023-07-23,7.24
32.5,-121.31818181818181,2023-07-30,8.22
32.5,-121.31818181818181,2023-08-06,2.62
32.5,-121.31818181818181,2023-08-13,3.31
32.5,-121.31818181818181,2023-08-20,4.41
32.5,-121.31818181818181,2023-08-27,6.41
32.5,-121.31818181818181,2023-09-03,4.96
32.5,-121.31818181818181,2023-09-10,8.62
32.5,-121.31818181818181,2023-09-17,7.05
32.5,-121.31818181818181,2023-09-24,1.95
32.5,-121.31818181818181,2023-10-01,3.71
32.5,-121.31818181818181,2023-10-08,6.56
32.5,-121.31818181818181,2023-10-15,2.47
32.5,-121.31818181818181,2023-10-22,9.22
32.5,-121.31818181818181,2023-10-29,5.2
32.5,-121.31818181818181,2023-11-05,6.58
32.5,-121.31818181818181,2023-11-12,1.86
32.5,-121.31818181818181,2023-11-19,7.14
32.5,-121.31818181818181,2023-11-26,6.85
32.5,-121.31818181818181,2023-12-03,6.55
32.5,-121.31818181818181,2023-12-10,1.85
32.5,-121.31818181818181,2023-12-17,7.11
32.5,-121.31818181818181,2023-12-24,2.87
32.5,-121.31818181818181,2023-12-31,7.63
32.5,-120.78787878787878,2023-01-01,5.39
32.5,-120.78787878787878,2023-01-08,1.24
32.5,-120.78787878787878,2023-01-15,0.52
32.5,-120.78787878787878,2023-01-22,0.48
32.5,-120.78787878787878,2023-01-29,0.76
32.5,-120.78787878787878,2023-02-05,3.0
32.5,-120.78787878787878,2023-02-12,5.79
32.5,-120.78787878787878,2023-02-19,5.73
32.5,-120.78787878787878,2023-02-26,2.64
32.5,-120.78787878787878,2023-03-05,5.64
32.5,-120.78787878787878,2023-03-12,8.55
32.5,-120.78787878787878,2023-03-19,2.68
32.5,-120.78787878787878,2023-03-26,8.26
32.5,-120.78787878787878,2023-04-02,5.47
32.5,-120.78787878787878,2023-04-09,8.49
32.5,-120.78787878787878,2023-04-16,9.29
32.5,-120.78787878787878,2023-04-23,7.74
32.5,-120.78787878787878,2023-04-30,5.17
32.5,-120.78787878787878,2023-05-07,1.65
32.5,-120.78787878787878,2023-05-14,0.22
32.5,-120.78787878787878,2023-05-21,0.95
32.5,-120.78787878787878,2023-05-28,5.44
32.5,-120.78787878787878,2023-06-04,0.11
32.5,-120.78787878787878,2023-06-11,8.23
32.5,-120.78787878787878,2023-06-18,5.22
32.5,-120.78787878787878,2023-06-25,7.9
32.5,-120.78787878787878,2023-07-02,8.61
32.5,-120.78787878787878,2023-07-09,4.45
32.5,-120.78787878787878,2023-07-16,2.78
32.5,-120.78787878787878,2023-07-23,6.92
32.5,-120.78787878787878,2023-07-30,3.94
32.5,-120.78787878787878,2023-08-06,1.18
32.5,-120.78787878787878,2023-08-13,4.5
32.5,-120.78787878787878,2023-08-20,3.38
32.5,-120.78787878787878,2023-08-27,7.6
32.5,-120.78787878787878,2023-09-03,4.29
32.5,-120.78787878787878,2023-09-10,6.44
32.5,-120.78787878787878,2023-09-17,5.9
32.5,-120.78787878787878,2023-09-24,5.3
32.5,-120.78787878787878,2023-10-01,8.71
32.5,-120.78787878787878,2023-10-08,4.83
32.5,-120.78787878787878,2023-10-15,5.99
32.5,-120.78787878787878,2023-10-22,9.53
32.5,-120.78787878787878,2023-10-29,8.84
32.5,-120.78787878787878,2023-11-05,5.72
32.5,-120.78787878787878,2023-11-12,6.28
32.5,-120.78787878787878,2023-11-19,5.35
32.5,-120.78787878787878,2023-11-26,8.76
32.5,-120.78787878787878,2023-12-03,8.51
32.5,-120.78787878787878,2023-12-10,6.84
32.5,-120.78787878787878,2023-12-17,3.48
32.5,-120.78787878787878,2023-12-24,6.18
32.5,-120.78787878787878,2023-12-31,9.82
32.5,-120.25757575757575,2023-01-01,4.59
32.5,-120.25757575757575,2023-01-08,3.97
32.5,-120.25757575757575,2023-01-15,3.53
32.5,-120.25757575757575,2023-01-22,5.29
32.5,-120.25757575757575,2023-01-29,3.43
32.5,-120.25757575757575,2023-02-05,7.66
32.5,-120.25757575757575,2023-02-12,3.19
32.5,-120.25757575757575,2023-02-19,3.09
32.5,-120.25757575757575,2023-02-26,7.71
32.5,-120.25757575757575,2023-03-05,10.0
32.5,-120.25757575757575,2023-03-12,0.2
32.5,-120.25757575757575,2023-03-19,0.96
32.5,-120.25757575757575,2023-03-26,5.59
32.5,-120.25757575757575,2023-04-02,8.69
32.5,-120.25757575757575,2023-04-09,4.08
32.5,-120.25757575757575,2023-04-16,6.02
32.5,-120.25757575757575,2023-04-23,7.76
32.5,-120.25757575757575,2023-04-30,0.6
32.5,-120.25757575757575,2023-05-07,2.37
32.5,-120.25757575757575,2023-05-14,6.62
32.5,-120.25757575757575,2023-05-21,3.37
32.5,-120.25757575757575,2023-05-28,3.41
32.5,-120.25757575757575,2023-06-04,3.23
32.5,-120.25757575757575,2023-06-11,8.14
32.5,-120.25757575757575,2023-06-18,8.56
32.5,-120.25757575757575,2023-06-25,7.31
32.5,-120.25757575757575,2023-07-02,5.19
32.5,-120.25757575757575,2023-07-09,3.07
32.5,-120.25757575757575,2023-07-16,6.19
32.5,-120.25757575757575,2023-07-23,8.72
32.5,-120.25757575757575,2023-07-30,6.02
32.5,-120.25757575757575,2023-08-06,0.13
32.5,-120.25757575757575,2023-08-13,5.39
32.5,-120.25757575757575,2023-08-20,8.96
32.5,-120.25757575757575,2023-08-27,0.15
32.5,-120.25757575757575,2023-09-03,5.58
32.5,-120.25757575757575,2023-09-10,5.12
32.5,-120.25757575757575,2023-09-17,7.98
32.5,-120.25757575757575,2023-09-24,8.83
32.5,-120.25757575757575,2023-10-01,6.17
32.5,-120.25757575757575,2023-10-08,9.61
32.5,-120.25757575757575,2023-10-15,8.22
32.5,-120.25757575757575,2023-10-22,3.72
32.5,-120.25757575757575,2023-10-29,1.63
32.5,-120.25757575757575,2023-11-05,2.61
32.5,-120.25757575757575,2023-11-12,8.75
32.5,-120.25757575757575,2023-11-19,8.82
32.5,-120.25757575757575,2023-11-26,4.54
32.5,-120.25757575757575,2023-12-03,4.02
32.5,-120.25757575757575,2023-12-10,1.37
32.5,-120.25757575757575,2023-12-17,5.27
32.5,-120.25757575757575,2023-12-24,7.66
32.5,-120.25757575757575,2023-12-31,2.11
32.5,-119.72727272727273,2023-01-01,1.49
32.5,-119.72727272727273,2023-01-08,7.1
32.5,-119.72727272727273,2023-01-15,0.5
32.5,-119.72727272727273,2023-01-22,5.18
32.5,-119.72727272727273,2023-01-29,8.52
32.5,-119.72727272727273,2023-02-05,0.65
32.5,-119.72727272727273,2023-02-12,3.62
32.5,-119.72727272727273,2023-02-19,8.83
32.5,-119.72727272727273,2023-02-26,8.56
32.5,-119.72727272727273,2023-03-05,1.34
32.5,-119.72727272727273,2023-03-12,9.36
32.5,-119.72727272727273,2023-03-19,1.06
32.5,-119.72727272727273,2023-03-26,9.45
32.5,-119.72727272727273,2023-04-02,4.17
32.5,-119.72727272727273,2023-04-09,3.51
32.5,-119.72727272727273,2023-04-16,3.43
32.5,-119.72727272727273,2023-04-23,8.43
32.5,-119.72727272727273,2023-04-30,5.47
32.5,-119.72727272727273,2023-05-07,9.35
32.5,-119.72727272727273,2023-05-14,1.81
32.5,-119.72727272727273,2023-05-21,1.81
32.5,-119.72727272727273,2023-05-28,4.69
32.5,-119.72727272727273,2023-06-04,9.92
32.5,-119.72727272727273,2023-06-11,0.88
32.5,-119.72727272727273,2023-06-18,7.89
32.5,-119.72727272727273,2023-06-25,8.18
32.5,-119.72727272727273,2023-07-02,2.75
32.5,-119.72727272727273,2023-07-09,9.16
32.5,-119.72727272727273,2023-07-16,8.88
32.5,-119.72727272727273,2023-07-23,9.56
32.5,-119.72727272727273,2023-07-30,5.9
32.5,-119.72727272727273,2023-08-06,9.46
32.5,-119.72727272727273,2023-08-13,9.51
32.5,-119.72727272727273,2023-08-20,8.99
32.5,-119.72727272727273,2023-08-27,2.54
32.5,-119.72727272727273,2023-09-03,6.72
32.5,-119.72727272727273,2023-09-10,2.56
32.5,-119.72727272727273,2023-09-17,0.02
32.5,-119.72727272727273,2023-09-24,4.61
32.5,-119.72727272727273,2023-10-01,7.82
32.5,-119.72727272727273,2023-10-08,0.42
32.5,-119.72727272727273,2023-10-15,1.85
32.5,-119.72727272727273,2023-10-22,6.03
32.5,-119.72727272727273,2023-10-29,7.61
32.5,-119.72727272727273,2023-11-05,1.78
32.5,-119.72727272727273,2023-11-12,6.86
32.5,-119.72727272727273,2023-11-19,3.92
32.5,-119.72727272727273,2023-11-26,9.12
32.5,-119.72727272727273,2023-12-03,8.83
32.5,-119.72727272727273,2023-12-10,7.43
32.5,-119.72727272727273,2023-12-17,5.11
32.5,-119.72727272727273,2023-12-24,3.67
32.5,-119.72727272727273,2023-12-31,9.0
32.5,-119.1969696969697,2023-01-01,0.76
32.5,-119.1969696969697,2023-01-08,5.87
32.5,-119.1969696969697,2023-01-15,9.43
32.5,-119.1969696969697,2023-01-22,7.51
32.5,-119.1969696969697,2023-01-29,9.0
32.5,-119.1969696969697,2023-02-05,8.15
32.5,-119.1969696969697,2023-02-12,0.33
32.5,-119.1969696969697,2023-02-19,3.92
32.5,-119.1969696969697,2023-02-26,9.62
32.5,-119.1969696969697,2023-03-05,4.88
32.5,-119.1969696969697,2023-03-12,4.11
32.5,-119.1969696969697,2023-03-19,8.49
32.5,-119.1969696969697,2023-03-26,3.64
32.5,-119.1969696969697,2023-04-02,9.49
32.5,-119.1969696969697,2023-04-09,7.02
32.5,-119.1969696969697,2023-04-16,8.18
32.5,-119.1969696969697,2023-04-23,6.08
32.5,-119.1969696969697,2023-04-30,9.74
32.5,-119.1969696969697,2023-05-07,5.5
32.5,-119.1969696969697,2023-05-14,2.69
32.5,-119.1969696969697,2023-05-21,1.43
32.5,-119.1969696969697,2023-05-28,6.49
32.5,-119.1969696969697,2023-06-04,8.43
32.5,-119.1969696969697,2023-06-11,4.31
32.5,-119.1969696969697,2023-06-18,3.31
32.5,-119.1969696969697,2023-06-25,4.17
32.5,-119.1969696969697,2023-07-02,8.88
32.5,-119.1969696969697,2023-07-09,8.21
32.5,-119.1969696969697,2023-07-16,6.65
32.5,-119.1969696969697,2023-07-23,4.74
32.5,-119.1969696969697,2023-07-30,9.18
32.5,-119.1969696969697,2023-08-06,5.84
32.5,-119.1969696969697,2023-08-13,9.68
32.5,-119.1969696969697,2023-08-20,6.25
32.5,-119.1969696969697,2023-08-27,2.91
32.5,-119.1969696969697,2023-09-03,8.52
32.5,-119.1969696969697,2023-09-10,0.1
32.5,-119.1969696969697,2023-09-17,4.66
32.5,-119.1969696969697,2023-09-24,6.22
32.5,-119.1969696969697,2023-10-01,9.94
32.5,-119.1969696969697,2023-10-08,1.88
32.5,-119.1969696969697,2023-10-15,4.31
32.5,-119.1969696969697,2023-10-22,5.04
32.5,-119.1969696969697,2023-10-29,9.45
32.5,-119.1969696969697,2023-11-05,5.3
32.5,-119.1969696969697,2023-11-12,9.04
32.5,-119.1969696969697,2023-11-19,8.67
32.5,-119.1969696969697,2023-11-26,9.54
32.5,-119.1969696969697,2023-12-03,4.05
32.5,-119.1969696969697,2023-12-10,5.3
32.5,-119.1969696969697,2023-12-17,2.16
32.5,-119.1969696969697,2023-12-24,1.43
32.5,-119.1969696969697,2023-12-31,8.09
32.5,-118.66666666666667,2023-01-01,6.32
32.5,-118.66666666666667,2023-01-08,0.23
32.5,-118.66666666666667,2023-01-15,2.16
32.5,-118.66666666666667,2023-01-22,1.82
32.5,-118.66666666666667,2023-01-29,9.64
32.5,-118.66666666666667,2023-02-05,6.41
32.5,-118.66666666666667,2023-02-12,1.34
32.5,-118.66666666666667,2023-02-19,2.12
