lat,lon,ndvi
32.5,-115.6969696969697,0.128
32.5,-115.5909090909091,0.135
32.5,-115.48484848484848,0.47
32.5,-115.37878787878788,0.267
32.5,-115.27272727272727,0.299
32.5,-115.16666666666667,0.241
32.5,-115.06060606060606,0.597
32.5,-114.95454545454545,0.799
32.5,-114.84848484848484,0.857
32.5,-114.74242424242425,0.179
32.5,-114.63636363636364,0.702
32.5,-114.53030303030303,0.114
32.5,-114.42424242424242,0.683
32.5,-114.31818181818181,0.55
32.5,-114.21212121212122,0.638
32.5,-114.10606060606061,0.227
32.5,-114.0,0.129
32.5959595959596,-124.5,0.471
32.5959595959596,-124.39393939393939,0.798
32.5959595959596,-124.28787878787878,0.8
32.5959595959596,-124.18181818181819,0.174
32.5959595959596,-124.07575757575758,0.777
32.5959595959596,-123.96969696969697,0.667
32.5959595959596,-123.86363636363636,0.259
32.5959595959596,-123.75757575757575,0.35
32.5959595959596,-123.65151515151516,0.113
32.5959595959596,-123.54545454545455,0.612
32.5959595959596,-123.43939393939394,0.346
32.5959595959596,-123.33333333333333,0.342
32.5959595959596,-123.22727272727273,0.291
32.5959595959596,-123.12121212121212,0.49
32.5959595959596,-123.01515151515152,0.415
32.5959595959596,-122.9090909090909,0.549
32.5959595959596,-122.8030303030303,0.266
32.5959595959596,-122.6969696969697,0.823
32.5959595959596,-122.5909090909091,0.13
32.5959595959596,-122.48484848484848,0.652
32.5959595959596,-122.37878787878788,0.391
32.5959595959596,-122.27272727272727,0.12
32.5959595959596,-122.16666666666667,0.345
32.5959595959596,-122.06060606060606,0.145
32.5959595959596,-121.95454545454545,0.868
32.5959595959596,-121.84848484848484,0.614
32.5959595959596,-121.74242424242425,0.825
32.5959595959596,-121.63636363636364,0.418
32.5959595959596,-121.53030303030303,0.655
32.5959595959596,-121.42424242424242,0.729
32.5959595959596,-121.31818181818181,0.442
32.5959595959596,-121.21212121212122,0.895
32.5959595959596,-121.10606060606061,0.443
32.5959595959596,-121.0,0.14
32.5959595959596,-120.89393939393939,0.467
32.5959595959596,-120.78787878787878,0.477
32.5959595959596,-120.68181818181819,0.84
32.5959595959596,-120.57575757575758,0.228
32.5959595959596,-120.46969696969697,0.161
32.5959595959596,-120.36363636363636,0.683
32.5959595959596,-120.25757575757575,0.283
32.5959595959596,-120.15151515151516,0.745
32.5959595959596,-120.04545454545455,0.137
32.5959595959596,-119.93939393939394,0.302
32.5959595959596,-119.83333333333333,0.116
32.5959595959596,-119.72727272727273,0.353
32.5959595959596,-119.62121212121212,0.781
32.5959595959596,-119.51515151515152,0.628
32.5959595959596,-119.4090909090909,0.583
32.5959595959596,-119.3030303030303,0.458
32.5959595959596,-119.1969696969697,0.415
32.5959595959596,-119.0909090909091,0.495
32.5959595959596,-118.98484848484848,0.152
32.5959595959596,-118.87878787878788,0.475
32.5959595959596,-118.77272727272727,0.106
32.5959595959596,-118.66666666666667,0.787
32.5959595959596,-118.56060606060606,0.358
32.5959595959596,-118.45454545454545,0.698
32.5959595959596,-118.34848484848484,0.566
32.5959595959596,-118.24242424242425,0.834
32.5959595959596,-118.13636363636364,0.108
32.5959595959596,-118.03030303030303,0.191
32.5959595959596,-117.92424242424242,0.555
32.5959595959596,-117.81818181818181,0.505
32.5959595959596,-117.71212121212122,0.317
32.5959595959596,-117.60606060606061,0.745
32.5959595959596,-117.5,0.121
32.5959595959596,-117.39393939393939,0.688
32.5959595959596,-117.28787878787878,0.247
32.5959595959596,-117.18181818181819,0.118
32.5959595959596,-117.07575757575758,0.659
32.5959595959596,-116.96969696969697,0.282
32.5959595959596,-116.86363636363636,0.839
32.5959595959596,-116.75757575757575,0.566
32.5959595959596,-116.65151515151516,0.46
32.5959595959596,-116.54545454545455,0.374
32.5959595959596,-116.43939393939394,0.193
32.5959595959596,-116.33333333333333,0.235
32.5959595959596,-116.22727272727272,0.37
32.5959595959596,-116.12121212121212,0.879
32.5959595959596,-116.01515151515152,0.689
32.5959595959596,-115.9090909090909,0.482
32.5959595959596,-115.8030303030303,0.872
32.5959595959596,-115.6969696969697,0.324
32.5959595959596,-115.5909090909091,0.829
32.5959595959596,-115.48484848484848,0.613
32.5959595959596,-115.37878787878788,0.417
32.5959595959596,-115.27272727272727,0.578
32.5959595959596,-115.16666666666667,0.86
32.5959595959596,-115.06060606060606,0.566
32.5959595959596,-114.95454545454545,0.192
32.5959595959596,-114.84848484848484,0.483
32.5959595959596,-114.74242424242425,0.499
32.5959595959596,-114.63636363636364,0.545
32.5959595959596,-114.53030303030303,0.638
32.5959595959596,-114.42424242424242,0.333
32.5959595959596,-114.31818181818181,0.369
32.5959595959596,-114.21212121212122,0.404
32.5959595959596,-114.10606060606061,0.886
32.5959595959596,-114.0,0.605
32.69191919191919,-124.5,0.174
32.69191919191919,-124.39393939393939,0.708
32.69191919191919,-124.28787878787878,0.733
32.69191919191919,-124.18181818181819,0.54
32.69191919191919,-124.07575757575758,0.644
32.69191919191919,-123.96969696969697,0.141
32.69191919191919,-123.86363636363636,0.694
32.69191919191919,-123.75757575757575,0.539
32.69191919191919,-123.65151515151516,0.374
32.69191919191919,-123.54545454545455,0.269
32.69191919191919,-123.43939393939394,0.406
32.69191919191919,-123.33333333333333,0.685
32.69191919191919,-123.22727272727273,0.313
32.69191919191919,-123.12121212121212,0.886
32.69191919191919,-123.01515151515152,0.713
32.69191919191919,-122.9090909090909,0.225
32.69191919191919,-122.8030303030303,0.775
32.69191919191919,-122.6969696969697,0.634
32.69191919191919,-122.5909090909091,0.558
32.69191919191919,-122.48484848484848,0.396
32.69191919191919,-122.37878787878788,0.319
32.69191919191919,-122.27272727272727,0.293
32.69191919191919,-122.16666666666667,0.391
32.69191919191919,-122.06060606060606,0.849
32.69191919191919,-121.95454545454545,0.735
32.69191919191919,-121.84848484848484,0.451
32.69191919191919,-121.74242424242425,0.833
32.69191919191919,-121.63636363636364,0.738
32.69191919191919,-121.53030303030303,0.113
32.69191919191919,-121.42424242424242,0.717
32.69191919191919,-121.31818181818181,0.897
32.69191919191919,-121.21212121212122,0.521
32.69191919191919,-121.10606060606061,0.417
32.69191919191919,-121.0,0.663
32.69191919191919,-120.89393939393939,0.592
32.69191919191919,-120.78787878787878,0.777
32.69191919191919,-120.68181818181819,0.555
32.69191919191919,-120.57575757575758,0.266
32.69191919191919,-120.46969696969697,0.575
32.69191919191919,-120.36363636363636,0.187
32.69191919191919,-120.25757575757575,0.346
32.69191919191919,-120.15151515151516,0.475
32.69191919191919,-120.04545454545455,0.645
32.69191919191919,-119.93939393939394,0.335
32.69191919191919,-119.83333333333333,0.654
32.69191919191919,-119.72727272727273,0.746
32.69191919191919,-119.62121212121212,0.317
32.69191919191919,-119.51515151515152,0.509
32.69191919191919,-119.4090909090909,0.72
32.69191919191919,-119.3030303030303,0.301
32.69191919191919,-119.1969696969697,0.639
32.69191919191919,-119.0909090909091,0.2
32.69191919191919,-118.98484848484848,0.339
32.69191919191919,-118.87878787878788,0.564
32.69191919191919,-118.77272727272727,0.362
32.69191919191919,-118.66666666666667,0.541
32.69191919191919,-118.56060606060606,0.136
32.69191919191919,-118.45454545454545,0.709
32.69191919191919,-118.34848484848484,0.347
32.69191919191919,-118.24242424242425,0.703
32.69191919191919,-118.13636363636364,0.364
32.69191919191919,-118.03030303030303,0.43
32.69191919191919,-117.92424242424242,0.321
32.69191919191919,-117.81818181818181,0.875
32.69191919191919,-117.71212121212122,0.253
32.69191919191919,-117.60606060606061,0.622
32.69191919191919,-117.5,0.377
32.69191919191919,-117.39393939393939,0.566
32.69191919191919,-117.28787878787878,0.437
32.69191919191919,-117.18181818181819,0.849
32.69191919191919,-117.07575757575758,0.485
32.69191919191919,-116.96969696969697,0.827
32.69191919191919,-116.86363636363636,0.766
32.69191919191919,-116.75757575757575,0.785
32.69191919191919,-116.65151515151516,0.664
32.69191919191919,-116.54545454545455,0.272
32.69191919191919,-116.43939393939394,0.714
32.69191919191919,-116.33333333333333,0.726
32.69191919191919,-116.22727272727272,0.866
32.69191919191919,-116.12121212121212,0.224
32.69191919191919,-116.01515151515152,0.152
32.69191919191919,-115.9090909090909,0.552
32.69191919191919,-115.8030303030303,0.184
32.69191919191919,-115.6969696969697,0.489
32.69191919191919,-115.5909090909091,0.841
32.69191919191919,-115.48484848484848,0.39
32.69191919191919,-115.37878787878788,0.747
32.69191919191919,-115.27272727272727,0.197
32.69191919191919,-115.16666666666667,0.585
32.69191919191919,-115.06060606060606,0.761
32.69191919191919,-114.95454545454545,0.433
32.69191919191919,-114.84848484848484,0.399
32.69191919191919,-114.74242424242425,0.16
32.69191919191919,-114.63636363636364,0.166
32.69191919191919,-114.53030303030303,0.79
32.69191919191919,-114.42424242424242,0.15
32.69191919191919,-114.31818181818181,0.429
32.69191919191919,-114.21212121212122,0.434
32.69191919191919,-114.10606060606061,0.377
32.69191919191919,-114.0,0.528
32.78787878787879,-124.5,0.335
32.78787878787879,-124.39393939393939,0.212
32.78787878787879,-124.28787878787878,0.854
32.78787878787879,-124.18181818181819,0.733
32.78787878787879,-124.07575757575758,0.343
32.78787878787879,-123.96969696969697,0.586
32.78787878787879,-123.86363636363636,0.846
32.78787878787879,-123.75757575757575,0.863
32.78787878787879,-123.65151515151516,0.61
32.78787878787879,-123.54545454545455,0.693
32.78787878787879,-123.43939393939394,0.301
32.78787878787879,-123.33333333333333,0.371
32.78787878787879,-123.22727272727273,0.758
32.78787878787879,-123.12121212121212,0.759
32.78787878787879,-123.01515151515152,0.58
32.78787878787879,-122.9090909090909,0.606
32.78787878787879,-122.8030303030303,0.223
32.78787878787879,-122.6969696969697,0.666
32.78787878787879,-122.5909090909091,0.402
32.78787878787879,-122.48484848484848,0.664
32.78787878787879,-122.37878787878788,0.683
32.78787878787879,-122.27272727272727,0.297
32.78787878787879,-122.16666666666667,0.69
32.78787878787879,-122.06060606060606,0.613
32.78787878787879,-121.95454545454545,0.333
32.78787878787879,-121.84848484848484,0.239
32.78787878787879,-121.74242424242425,0.279
32.78787878787879,-121.63636363636364,0.579
32.78787878787879,-121.53030303030303,0.67
32.78787878787879,-121.42424242424242,0.663
32.78787878787879,-121.31818181818181,0.337
32.78787878787879,-121.21212121212122,0.38
32.78787878787879,-121.10606060606061,0.58
32.78787878787879,-121.0,0.412
32.78787878787879,-120.89393939393939,0.347
32.78787878787879,-120.78787878787878,0.363
32.78787878787879,-120.68181818181819,0.323
32.78787878787879,-120.57575757575758,0.495
32.78787878787879,-120.46969696969697,0.302
32.78787878787879,-120.36363636363636,0.512
32.78787878787879,-120.25757575757575,0.726
32.78787878787879,-120.15151515151516,0.343
32.78787878787879,-120.04545454545455,0.559
32.78787878787879,-119.93939393939394,0.67
32.78787878787879,-119.83333333333333,0.146
32.78787878787879,-119.72727272727273,0.22
32.78787878787879,-119.62121212121212,0.839
32.78787878787879,-119.51515151515152,0.518
32.78787878787879,-119.4090909090909,0.616
32.78787878787879,-119.3030303030303,0.834
32.78787878787879,-119.1969696969697,0.304
32.78787878787879,-119.0909090909091,0.248
32.78787878787879,-118.98484848484848,0.829
32.78787878787879,-118.87878787878788,0.249
32.78787878787879,-118.77272727272727,0.363
32.78787878787879,-118.66666666666667,0.491
32.78787878787879,-118.56060606060606,0.881
32.78787878787879,-118.45454545454545,0.122
32.78787878787879,-118.34848484848484,0.25
32.78787878787879,-118.24242424242425,0.36
32.78787878787879,-118.13636363636364,0.729
32.78787878787879,-118.03030303030303,0.245
32.78787878787879,-117.92424242424242,0.694
32.78787878787879,-117.81818181818181,0.377
32.78787878787879,-117.71212121212122,0.715
32.78787878787879,-117.60606060606061,0.695
32.78787878787879,-117.5,0.376
32.78787878787879,-117.39393939393939,0.215
32.78787878787879,-117.28787878787878,0.72
32.78787878787879,-117.18181818181819,0.602
32.78787878787879,-117.07575757575758,0.13
32.78787878787879,-116.96969696969697,0.582
32.78787878787879,-116.86363636363636,0.648
32.78787878787879,-116.75757575757575,0.834
32.78787878787879,-116.65151515151516,0.519
32.78787878787879,-116.54545454545455,0.254
32.78787878787879,-116.43939393939394,0.481
32.78787878787879,-116.33333333333333,0.466
32.78787878787879,-116.22727272727272,0.681
32.78787878787879,-116.12121212121212,0.351
32.78787878787879,-116.01515151515152,0.136
32.78787878787879,-115.9090909090909,0.823
32.78787878787879,-115.8030303030303,0.513
32.78787878787879,-115.6969696969697,0.504
32.78787878787879,-115.5909090909091,0.879
32.78787878787879,-115.48484848484848,0.215
32.78787878787879,-115.37878787878788,0.108
32.78787878787879,-115.27272727272727,0.147
32.78787878787879,-115.16666666666667,0.477
32.78787878787879,-115.06060606060606,0.869
32.78787878787879,-114.95454545454545,0.838
32.78787878787879,-114.84848484848484,0.74
32.78787878787879,-114.74242424242425,0.684
32.78787878787879,-114.63636363636364,0.125
32.78787878787879,-114.53030303030303,0.327
32.78787878787879,-114.42424242424242,0.249
32.78787878787879,-114.31818181818181,0.598
32.78787878787879,-114.21212121212122,0.698
32.78787878787879,-114.10606060606061,0.493
32.78787878787879,-114.0,0.407
32.88383838383838,-124.5,0.701
32.88383838383838,-124.39393939393939,0.25
32.88383838383838,-124.28787878787878,0.893
32.88383838383838,-124.18181818181819,0.768
32.88383838383838,-124.07575757575758,0.463
32.88383838383838,-123.96969696969697,0.885
32.88383838383838,-123.86363636363636,0.709
32.88383838383838,-123.75757575757575,0.671
32.88383838383838,-123.65151515151516,0.871
32.88383838383838,-123.54545454545455,0.127
32.88383838383838,-123.43939393939394,0.594
32.88383838383838,-123.33333333333333,0.639
32.88383838383838,-123.22727272727273,0.434
32.88383838383838,-123.12121212121212,0.702
32.88383838383838,-123.01515151515152,0.116
32.88383838383838,-122.9090909090909,0.876
32.88383838383838,-122.8030303030303,0.768
32.88383838383838,-122.6969696969697,0.447
32.88383838383838,-122.5909090909091,0.668
32.88383838383838,-122.48484848484848,0.106
32.88383838383838,-122.37878787878788,0.605
32.88383838383838,-122.27272727272727,0.374
32.88383838383838,-122.16666666666667,0.517
32.88383838383838,-122.06060606060606,0.752
32.88383838383838,-121.95454545454545,0.322
32.88383838383838,-121.84848484848484,0.327
32.88383838383838,-121.74242424242425,0.255
32.88383838383838,-121.63636363636364,0.709
32.88383838383838,-121.53030303030303,0.485
32.88383838383838,-121.42424242424242,0.112
32.88383838383838,-121.31818181818181,0.233
32.88383838383838,-121.21212121212122,0.258
32.88383838383838,-121.10606060606061,0.426
32.88383838383838,-121.0,0.34
32.88383838383838,-120.89393939393939,0.702
32.88383838383838,-120.78787878787878,0.347
32.88383838383838,-120.68181818181819,0.795
32.88383838383838,-120.57575757575758,0.199
32.88383838383838,-120.46969696969697,0.104
32.88383838383838,-120.36363636363636,0.825
32.88383838383838,-120.25757575757575,0.664
32.88383838383838,-120.15151515151516,0.329
32.88383838383838,-120.04545454545455,0.571
32.88383838383838,-119.93939393939394,0.705
32.88383838383838,-119.83333333333333,0.388
32.88383838383838,-119.72727272727273,0.805
32.88383838383838,-119.62121212121212,0.127
32.88383838383838,-119.51515151515152,0.509
32.88383838383838,-119.4090909090909,0.622
32.88383838383838,-119.3030303030303,0.202
32.88383838383838,-119.1969696969697,0.67
32.88383838383838,-119.0909090909091,0.676
32.88383838383838,-118.98484848484848,0.738
32.88383838383838,-118.87878787878788,0.637
32.88383838383838,-118.77272727272727,0.28
32.88383838383838,-118.66666666666667,0.48
32.88383838383838,-118.56060606060606,0.612
32.88383838383838,-118.45454545454545,0.532
32.88383838383838,-118.34848484848484,0.715
32.88383838383838,-118.24242424242425,0.719
32.88383838383838,-118.13636363636364,0.657
32.88383838383838,-118.03030303030303,0.698
32.88383838383838,-117.92424242424242,0.633
32.88383838383838,-117.81818181818181,0.63
32.88383838383838,-117.71212121212122,0.811
32.88383838383838,-117.60606060606061,0.157
32.88383838383838,-117.5,0.778
32.88383838383838,-117.39393939393939,0.591
32.88383838383838,-117.28787878787878,0.234
32.88383838383838,-117.18181818181819,0.545
32.88383838383838,-117.07575757575758,0.523
32.88383838383838,-116.96969696969697,0.364
32.88383838383838,-116.86363636363636,0.71
32.88383838383838,-116.75757575757575,0.453
32.88383838383838,-116.65151515151516,0.39
32.88383838383838,-116.54545454545455,0.268
32.88383838383838,-116.43939393939394,0.666
32.88383838383838,-116.33333333333333,0.139
32.88383838383838,-116.22727272727272,0.205
32.88383838383838,-116.12121212121212,0.451
32.88383838383838,-116.01515151515152,0.878
32.88383838383838,-115.9090909090909,0.823
32.88383838383838,-115.8030303030303,0.624
32.88383838383838,-115.6969696969697,0.72
32.88383838383838,-115.5909090909091,0.569
32.88383838383838,-115.48484848484848,0.552
32.88383838383838,-115.37878787878788,0.447
32.88383838383838,-115.27272727272727,0.259
32.88383838383838,-115.16666666666667,0.84
32.88383838383838,-115.06060606060606,0.666
32.88383838383838,-114.95454545454545,0.249
32.88383838383838,-114.84848484848484,0.548
32.88383838383838,-114.74242424242425,0.483
32.88383838383838,-114.63636363636364,0.668
32.88383838383838,-114.53030303030303,0.564
32.88383838383838,-114.42424242424242,0.663
32.88383838383838,-114.31818181818181,0.462
32.88383838383838,-114.21212121212122,0.255
32.88383838383838,-114.10606060606061,0.796
32.88383838383838,-114.0,0.356
32.97979797979798,-124.5,0.127
32.97979797979798,-124.39393939393939,0.175
32.97979797979798,-124.28787878787878,0.386
32.97979797979798,-124.18181818181819,0.783
32.97979797979798,-124.07575757575758,0.8
32.97979797979798,-123.96969696969697,0.601
32.97979797979798,-123.86363636363636,0.276
32.97979797979798,-123.75757575757575,0.826
32.97979797979798,-123.65151515151516,0.36
32.97979797979798,-123.54545454545455,0.134
32.97979797979798,-123.43939393939394,0.636
32.97979797979798,-123.33333333333333,0.836
32.97979797979798,-123.22727272727273,0.222
32.97979797979798,-123.12121212121212,0.572
32.97979797979798,-123.01515151515152,0.57
32.97979797979798,-122.9090909090909,0.246
32.97979797979798,-122.8030303030303,0.454
32.97979797979798,-122.6969696969697,0.712
32.97979797979798,-122.5909090909091,0.704
32.97979797979798,-122.48484848484848,0.714
32.97979797979798,-122.37878787878788,0.466
32.97979797979798,-122.27272727272727,0.291
32.97979797979798,-122.16666666666667,0.392
32.97979797979798,-122.06060606060606,0.246
32.97979797979798,-121.95454545454545,0.821
32.97979797979798,-121.84848484848484,0.796
32.97979797979798,-121.74242424242425,0.52
32.97979797979798,-121.63636363636364,0.602
32.97979797979798,-121.53030303030303,0.839
32.97979797979798,-121.42424242424242,0.797
32.97979797979798,-121.31818181818181,0.427
32.97979797979798,-121.21212121212122,0.14
32.97979797979798,-121.10606060606061,0.852
32.97979797979798,-121.0,0.181
32.97979797979798,-120.89393939393939,0.374
32.97979797979798,-120.78787878787878,0.535
32.97979797979798,-120.68181818181819,0.6
32.97979797979798,-120.57575757575758,0.183
32.97979797979798,-120.46969696969697,0.739
32.97979797979798,-120.36363636363636,0.217
32.97979797979798,-120.25757575757575,0.766
32.97979797979798,-120.15151515151516,0.478
32.97979797979798,-120.04545454545455,0.575
32.97979797979798,-119.93939393939394,0.712
32.97979797979798,-119.83333333333333,0.832
32.97979797979798,-119.72727272727273,0.801
32.97979797979798,-119.62121212121212,0.651
32.97979797979798,-119.51515151515152,0.293
32.97979797979798,-119.4090909090909,0.644
32.97979797979798,-119.3030303030303,0.23
32.97979797979798,-119.1969696969697,0.117
32.97979797979798,-119.0909090909091,0.565
32.97979797979798,-118.98484848484848,0.447
32.97979797979798,-118.87878787878788,0.15
32.97979797979798,-118.77272727272727,0.497
32.97979797979798,-118.66666666666667,0.751
32.97979797979798,-118.56060606060606,0.727
32.97979797979798,-118.45454545454545,0.529
32.97979797979798,-118.34848484848484,0.675
32.97979797979798,-118.24242424242425,0.33
32.97979797979798,-118.13636363636364,0.774
32.97979797979798,-118.03030303030303,0.265
32.97979797979798,-117.92424242424242,0.283
32.97979797979798,-117.81818181818181,0.347
32.97979797979798,-117.71212121212122,0.695
32.97979797979798,-117.60606060606061,0.848
32.97979797979798,-117.5,0.463
32.97979797979798,-117.39393939393939,0.232
32.97979797979798,-117.28787878787878,0.832
32.97979797979798,-117.18181818181819,0.119
32.97979797979798,-117.07575757575758,0.219
32.97979797979798,-116.96969696969697,0.632
32.97979797979798,-116.86363636363636,0.899
32.97979797979798,-116.75757575757575,0.808
32.97979797979798,-116.65151515151516,0.428
32.97979797979798,-116.54545454545455,0.227
32.97979797979798,-116.43939393939394,0.852
32.97979797979798,-116.33333333333333,0.864
32.97979797979798,-116.22727272727272,0.391
32.97979797979798,-116.12121212121212,0.768
32.97979797979798,-116.01515151515152,0.116
32.97979797979798,-115.9090909090909,0.181
32.97979797979798,-115.8030303030303,0.712
32.97979797979798,-115.6969696969697,0.588
32.97979797979798,-115.5909090909091,0.419
32.97979797979798,-115.48484848484848,0.609
32.97979797979798,-115.37878787878788,0.11
32.97979797979798,-115.27272727272727,0.838
32.97979797979798,-115.16666666666667,0.508
32.97979797979798,-115.06060606060606,0.519
32.97979797979798,-114.95454545454545,0.213
32.97979797979798,-114.84848484848484,0.207
32.97979797979798,-114.74242424242425,0.284
32.97979797979798,-114.63636363636364,0.536
32.97979797979798,-114.53030303030303,0.833
32.97979797979798,-114.42424242424242,0.821
32.97979797979798,-114.31818181818181,0.657
32.97979797979798,-114.21212121212122,0.565
32.97979797979798,-114.10606060606061,0.557
32.97979797979798,-114.0,0.828
33.07575757575758,-124.5,0.241
33.07575757575758,-124.39393939393939,0.835
33.07575757575758,-124.28787878787878,0.671
33.07575757575758,-124.18181818181819,0.5
33.07575757575758,-124.07575757575758,0.132
33.07575757575758,-123.96969696969697,0.45
33.07575757575758,-123.86363636363636,0.676
33.07575757575758,-123.75757575757575,0.707
33.07575757575758,-123.65151515151516,0.148
33.07575757575758,-123.54545454545455,0.507
33.07575757575758,-123.43939393939394,0.139
33.07575757575758,-123.33333333333333,0.251
33.07575757575758,-123.22727272727273,0.311
33.07575757575758,-123.12121212121212,0.395
33.07575757575758,-123.01515151515152,0.661
33.07575757575758,-122.9090909090909,0.331
33.07575757575758,-122.8030303030303,0.382
33.07575757575758,-122.6969696969697,0.256
33.07575757575758,-122.5909090909091,0.629
33.07575757575758,-122.48484848484848,0.379
33.07575757575758,-122.37878787878788,0.482
33.07575757575758,-122.27272727272727,0.606
33.07575757575758,-122.16666666666667,0.281
33.07575757575758,-122.06060606060606,0.448
33.07575757575758,-121.95454545454545,0.671
33.07575757575758,-121.84848484848484,0.456
33.07575757575758,-121.74242424242425,0.855
33.07575757575758,-121.63636363636364,0.578
33.07575757575758,-121.53030303030303,0.359
33.07575757575758,-121.42424242424242,0.524
33.07575757575758,-121.31818181818181,0.464
33.07575757575758,-121.21212121212122,0.666
33.07575757575758,-121.10606060606061,0.459
33.07575757575758,-121.0,0.444
33.07575757575758,-120.89393939393939,0.259
33.07575757575758,-120.78787878787878,0.687
33.07575757575758,-120.68181818181819,0.409
33.07575757575758,-120.57575757575758,0.257
33.07575757575758,-120.46969696969697,0.602
33.07575757575758,-120.36363636363636,0.656
33.07575757575758,-120.25757575757575,0.387
33.07575757575758,-120.15151515151516,0.675
33.07575757575758,-120.04545454545455,0.597
33.07575757575758,-119.93939393939394,0.348
33.07575757575758,-119.83333333333333,0.18
33.07575757575758,-119.72727272727273,0.177
33.07575757575758,-119.62121212121212,0.795
33.07575757575758,-119.51515151515152,0.439
33.07575757575758,-119.4090909090909,0.366
33.07575757575758,-119.3030303030303,0.176
33.07575757575758,-119.1969696969697,0.646
33.07575757575758,-119.0909090909091,0.379
33.07575757575758,-118.98484848484848,0.45
33.07575757575758,-118.87878787878788,0.375
33.07575757575758,-118.77272727272727,0.288
33.07575757575758,-118.66666666666667,0.291
33.07575757575758,-118.56060606060606,0.396
33.07575757575758,-118.45454545454545,0.208
33.07575757575758,-118.34848484848484,0.888
33.07575757575758,-118.24242424242425,0.708
33.07575757575758,-118.13636363636364,0.282
33.07575757575758,-118.03030303030303,0.608
33.07575757575758,-117.92424242424242,0.416
33.07575757575758,-117.81818181818181,0.204
33.07575757575758,-117.71212121212122,0.7
33.07575757575758,-117.60606060606061,0.612
33.07575757575758,-117.5,0.192
33.07575757575758,-117.39393939393939,0.889
33.07575757575758,-117.28787878787878,0.573
33.07575757575758,-117.18181818181819,0.373
33.07575757575758,-117.07575757575758,0.65
33.07575757575758,-116.96969696969697,0.215
33.07575757575758,-116.86363636363636,0.485
33.07575757575758,-116.75757575757575,0.355
33.07575757575758,-116.65151515151516,0.253
33.07575757575758,-116.54545454545455,0.881
33.07575757575758,-116.43939393939394,0.152
33.07575757575758,-116.33333333333333,0.29
33.07575757575758,-116.22727272727272,0.427
33.07575757575758,-116.12121212121212,0.888
33.07575757575758,-116.01515151515152,0.769
33.07575757575758,-115.9090909090909,0.397
33.07575757575758,-115.8030303030303,0.692
33.07575757575758,-115.6969696969697,0.59
33.07575757575758,-115.5909090909091,0.287
33.07575757575758,-115.48484848484848,0.21
33.07575757575758,-115.37878787878788,0.39
33.07575757575758,-115.27272727272727,0.841
33.07575757575758,-115.16666666666667,0.475
